name|city|lat|long|avgPrice
Hilton Garden Inn Corvallis|Corvallis, OR|44.55772|-123.27843| 196.00000
Hotel Corvallis|Corvallis, OR|44.56220|-123.26377| 146.00000
Comfort Suites|Corvallis, OR|44.58410|-123.25942| 167.16667
Best Western Corvallis|Corvallis, OR|44.58362|-123.25871| 163.00000
Royal Inn Eugene|Eugene, OR|44.07952|-123.15180| 132.00000
Best Western Plus Sands|Vancouver, Canada|49.28688|-123.14085|  99.00000
Barclay Hotel|Vancouver, Canada|49.28733|-123.12967|  72.00000
River Rock Casino Resort|Vancouver, Canada|49.19631|-123.12779| 146.00000
Sheraton Vancouver Wall Centre|Vancouver, Canada|49.28052|-123.12557| 195.00000
The Sutton Place Hotel Vancouver|Vancouver, Canada|49.28296|-123.12428| 168.00000
Paradox Hotel Vancouver|Vancouver, Canada|49.28684|-123.12419| 243.00000
Shangri-La Vancouver|Vancouver, Canada|49.28573|-123.12380| 372.00000
SureStay Hotel by Best Western North Vancouver Capilano|Vancouver, Canada|49.32484|-123.12103| 105.00000
Fairmont Hotel Vancouver|Vancouver, Canada|49.28377|-123.12099| 248.00000
Pinnacle Hotel Harbourfront|Vancouver, Canada|49.28853|-123.12072| 172.00000
North Vancouver Hotel|Vancouver, Canada|49.32640|-123.11947|  86.00000
Rosewood Hotel Georgia|Vancouver, Canada|49.28355|-123.11904| 394.00000
1781 Garden Avenue|Vancouver, Canada|49.31746|-123.11834| 229.00000
Fairmont Pacific Rim|Vancouver, Canada|49.28810|-123.11688| 445.00000
EXchange Hotel Vancouver|Vancouver, Canada|49.28562|-123.11571| 185.00000
Hotel Blu Vancouver|Vancouver, Canada|49.27816|-123.11446| 176.00000
Charming Family Hotel|Vancouver, Canada|49.14784|-123.11390|  77.00000
Fairmont Waterfront|Vancouver, Canada|49.28727|-123.11363| 293.00000
Pan Pacific Vancouver|Vancouver, Canada|49.28790|-123.11305| 278.00000
Sandman Hotel Vancouver Downtown|Vancouver, Canada|49.27889|-123.11296| 139.00000
JW Marriott Parq Vancouver|Vancouver, Canada|49.27539|-123.11277| 285.00000
Americas Best Value Inn Eugene|Eugene, OR|44.05282|-123.11012| 110.00000
Cambie Hostel Gastown|Vancouver, Canada|49.28311|-123.10913|  87.00000
Executive Motel|Eugene, OR|44.05288|-123.10860|  67.00000
Express Inn & Suites|Eugene, OR|44.05293|-123.10828|  92.12500
Valley River Inn|Eugene, OR|44.06552|-123.10285| 150.62500
Campbell House Inn|Eugene, OR|44.05712|-123.09001| 158.50000
Inn at the 5th|Eugene, OR|44.05409|-123.08927| 254.87500
Lonsdale Quay Hotel|Vancouver, Canada|49.31027|-123.08192| 137.00000
La Quinta Inn & Suites by Wyndham Eugene|Eugene, OR|44.05837|-123.07980| 143.25000
Hyatt Place Eugene / Oakway Center|Eugene, OR|44.06638|-123.07784| 179.50000
Hotel at the Waldorf|Vancouver, Canada|49.28149|-123.07433| 101.00000
Best Western New Oregon|Eugene, OR|44.04704|-123.06825| 118.00000
Hayward Inn|Eugene, OR|44.04628|-123.06696| 165.00000
University Inn & Suites|Eugene, OR|44.04616|-123.06610| 117.00000
Graduate Eugene|Eugene, OR|44.04408|-123.06525| 174.00000
Comfort Suites Eugene|Eugene, OR|44.03255|-123.04419| 129.12500
Courtyard by Marriott Eugene Springfield|Eugene, OR|44.08305|-123.03881| 160.25000
995 Shakespeare|Vancouver, Canada|49.16046|-122.85648| 156.00000
Hampton Inn Martin|Martin, TN|47.04750|-122.82896| 128.00000
La Quinta Inn & Suites by Wyndham Portland NW|Portland, OR|45.55288|-122.73080| 132.00000
Hotel deLuxe|Portland, OR|45.52098|-122.68772| 167.00000
Hyatt Centric Downtown Portland|Portland, OR|45.52083|-122.68322| 157.00000
Sentinel Hotel|Portland, OR|45.52061|-122.68259| 225.00000
Mark Spencer Hotel|Portland, OR|45.52218|-122.68259| 139.13043
Moxy Portland Downtown|Portland, OR|45.52094|-122.68198| 147.00000
Economy INN|Portland, OR|45.55189|-122.68154|  82.20000
The Heathman Hotel|Portland, OR|45.51712|-122.68115| 187.00000
The Hotel Zags Portland|Portland, OR|45.51401|-122.68077| 167.00000
Woodlark|Portland, OR|45.52058|-122.68050| 232.00000
Best Western Inn At The Meadows|Portland, OR|45.59425|-122.68046| 136.00000
Dossier Hotel|Portland, OR|45.52003|-122.68007| 177.00000
Hilton Portland Downtown|Portland, OR|45.51750|-122.68005| 167.80000
Motel 6 Portland, OR - North|Portland, OR|45.59005|-122.67956| 102.00000
Courtyard by Marriott Portland North|Portland, OR|45.60490|-122.67891| 117.00000
Hotel Lucia|Portland, OR|45.52107|-122.67833| 177.00000
The Royal Sonesta Portland Downtown|Portland, OR|45.51981|-122.67742| 149.50000
Embassy Suites by Hilton Portland Downtown|Portland, OR|45.52206|-122.67408| 173.04348
Hyatt House Portland/Downtown|Portland, OR|45.50743|-122.67362| 147.00000
River's Edge Hotel|Portland, OR|45.49024|-122.67194| 184.00000
Hyatt Regency Portland at the Oregon Convention Center|Portland, OR|45.53056|-122.66323| 169.10000
Courtyard Portland Downtown/Convention Center|Portland, OR|45.53260|-122.66092| 150.00000
Holiday Motel|Portland, OR|45.58175|-122.66088|  99.00000
DoubleTree by Hilton Hotel Portland|Portland, OR|45.53087|-122.65560| 139.20000
Studio 6 Portland, OR|Portland, OR|45.55865|-122.57908|  81.00000
Howard Johnson by Wyndham Portland Airport|Portland, OR|45.55357|-122.57777|  86.60000
Nordic Inn & Suites|Portland, OR|45.55704|-122.53963|  92.00000
Hotel Drisco|San Francisco, CA|37.79216|-122.44317| 703.30769
Surf Motel|San Francisco, CA|37.79926|-122.43861|  80.07692
Cow Hollow Inn & Suites|San Francisco, CA|37.79994|-122.43748| 149.00000
Casa Loma Hotel|San Francisco, CA|37.77511|-122.43083|  61.00000
Redwood Inn|San Francisco, CA|37.80130|-122.42687|  85.00000
Inn on Broadway|San Francisco, CA|37.79594|-122.42374|  86.00000
Hotel Sunrise|San Francisco, CA|37.76585|-122.42180|  77.76923
Union Hotel|San Francisco, CA|37.76449|-122.41980|  63.84615
Mithila Hotel|San Francisco, CA|37.78850|-122.41636|  81.00000
European Hostel|San Francisco, CA|37.77615|-122.41355|  69.00000
Beresford Arms Hotel|San Francisco, CA|37.78736|-122.41352|  99.00000
Amsterdam Hostel|San Francisco, CA|37.78940|-122.41215|  84.00000
The Clift Royal Sonesta Hotel|San Francisco, CA|37.78677|-122.41114| 215.00000
Civic Center Motor Inn|San Francisco, CA|37.77259|-122.41081|  92.00000
Hilton San Francisco Union Square|San Francisco, CA|37.78573|-122.41044| 200.00000
Fairmont San Francisco|San Francisco, CA|37.79237|-122.41003| 314.69231
Hotel Sunnyside|San Francisco, CA|37.78056|-122.40799|  58.00000
La Quinta Inn & Suites by Wyndham Santa Cruz|Santa Cruz, CA|37.65105|-122.40761| 157.00000
The Ritz-Carlton, San Francisco|San Francisco, CA|37.79187|-122.40708| 463.61538
Europa Hotel|San Francisco, CA|37.79822|-122.40689|  78.00000
Hotel North Beach|San Francisco, CA|37.79668|-122.40542|  87.00000
Hilton San Francisco Financial District|San Francisco, CA|37.79515|-122.40454| 133.76923
San Francisco Marriott Marquis|San Francisco, CA|37.78543|-122.40449| 246.00000
Park Pointe Hotel|San Francisco, CA|37.64829|-122.40432|  87.00000
The St. Regis San Francisco|San Francisco, CA|37.78606|-122.40138| 546.30769
Hyatt Regency San Francisco|San Francisco, CA|37.79425|-122.39590| 244.15385
Hyatt Place San Francisco Downtown|San Francisco, CA|37.77882|-122.39228| 194.15385
W Seattle|Seattle, WA|47.57093|-122.38652| 205.20000
Hotel Ballard|Seattle, WA|47.66623|-122.38256| 419.00000
Homewood Suites by Hilton-Seattle-Downtown, WA|Seattle, WA|47.62038|-122.35970| 171.00000
Mediterranean Inn|Seattle, WA|47.62304|-122.35693| 173.09091
The Edgewater Hotel|Seattle, WA|47.61254|-122.35284| 415.00000
Marco Polo Motel|Seattle, WA|47.65738|-122.34671| 103.00000
Days Inn by Wyndham Seattle Aurora|Seattle, WA|47.77134|-122.34658|  85.00000
Hampton Inn & Suites Seattle-Downtown|Seattle, WA|47.62587|-122.34654| 141.00000
Seattle Marriott Waterfront|Seattle, WA|47.61070|-122.34649| 241.66667
Crown Inn|Seattle, WA|47.69826|-122.34516|  91.00000
Columbus Motor Inn|Seattle, WA|47.69913|-122.34512|  93.18182
Travelodge by Wyndham Seattle North of Downtown|Seattle, WA|47.69109|-122.34362| 118.00000
Green Tortoise Hostel Seattle|Seattle, WA|47.60883|-122.33959|  82.54545
Four Seasons Hotel Seattle|Seattle, WA|47.60738|-122.33916| 801.90909
citizenM Seattle South Lake Union|Seattle, WA|47.61997|-122.33888| 153.00000
The Westin Seattle|Seattle, WA|47.61369|-122.33827| 197.00000
The Alexis Royal Sonesta Hotel Seattle|Seattle, WA|47.60477|-122.33690| 184.63636
Hyatt Regency Seattle|Seattle, WA|47.61482|-122.33458| 187.45455
Hyatt At Olive 8|Seattle, WA|47.61371|-122.33417| 189.81818
Fairmont Olympic Hotel|Seattle, WA|47.60806|-122.33393| 348.00000
The Paramount Hotel|Seattle, WA|47.61313|-122.33359| 167.00000
