id|leg|stops|loc|lat|long|price|dest
5622642|0|2|Columbus (CMH)|39.99806| -82.89194|  266|FALSE
5622642|1|2|Atlanta (ATL)|33.63667| -84.42806|  266|TRUE
5622642|2|2|Columbus (CMH)|39.99806| -82.89194|  266|FALSE
5775282|0|2|Columbus (CMH)|39.99806| -82.89194|  439|FALSE
5775282|1|2|Washington, D.C. (DCA)|38.85222| -77.03778|  439|TRUE
5775282|2|2|Columbus (CMH)|39.99806| -82.89194|  439|FALSE
5649201|0|4|Columbus (CMH)|39.99806| -82.89194|  428|FALSE
5649201|1|4|New York (EWR)|40.69250| -74.16861|  428|FALSE
5649201|2|4|Philadelphia (PHL)|39.87194| -75.24111|  428|TRUE
5649201|3|4|Orlando (MCO)|28.42944| -81.30889|  428|FALSE
5649201|4|4|Columbus (CMH)|39.99806| -82.89194|  428|FALSE
5629812|0|4|Columbus (CMH)|39.99806| -82.89194|  533|FALSE
5629812|1|4|Charlotte (CLT)|35.21389| -80.94306|  533|FALSE
5629812|2|4|Raleigh (RDU)|35.87778| -78.78750|  533|TRUE
5629812|3|4|Orlando (MCO)|28.42944| -81.30889|  533|FALSE
5629812|4|4|Columbus (CMH)|39.99806| -82.89194|  533|FALSE
5768396|0|2|Columbus (CMH)|39.99806| -82.89194|  439|FALSE
5768396|1|2|Washington, D.C. (DCA)|38.85222| -77.03778|  439|TRUE
5768396|2|2|Columbus (CMH)|39.99806| -82.89194|  439|FALSE
5729701|0|2|Columbus (CMH)|39.99806| -82.89194|  572|FALSE
5729701|1|2|New York (LGA)|40.77722| -73.87250|  572|TRUE
5729701|2|2|Columbus (CMH)|39.99806| -82.89194|  572|FALSE
5718619|0|2|Columbus (CMH)|39.99806| -82.89194|  144|FALSE
5718619|1|2|Orlando (MCO)|28.42944| -81.30889|  144|TRUE
5718619|2|2|Columbus (CMH)|39.99806| -82.89194|  144|FALSE
5588307|0|2|Columbus (CMH)|39.99806| -82.89194|  439|FALSE
5588307|1|2|Washington, D.C. (DCA)|38.85222| -77.03778|  439|TRUE
5588307|2|2|Columbus (CMH)|39.99806| -82.89194|  439|FALSE
5592339|0|5|Columbus (CMH)|39.99806| -82.89194|  456|FALSE
5592339|1|5|Las Vegas (LAS)|36.08000|-115.15222|  456|FALSE
5592339|2|5|Ontario (ONT)|34.05611|-117.60111|  456|TRUE
5592339|3|5|Las Vegas (LAS)|36.08000|-115.15222|  456|FALSE
5592339|4|5|Chicago (ORD)|41.97861| -87.90472|  456|FALSE
5592339|5|5|Columbus (CMH)|39.99806| -82.89194|  456|FALSE
5694434|0|5|Columbus (CMH)|39.99806| -82.89194|  793|FALSE
5694434|1|5|New York (EWR)|40.69250| -74.16861|  793|FALSE
5694434|2|5|Boston (BOS)|42.36444| -71.00528|  793|FALSE
5694434|3|5|Bar Harbor (BHB)|44.44667| -68.36139|  793|TRUE
5694434|4|5|New York (LGA)|40.77722| -73.87250|  793|FALSE
5694434|5|5|Columbus (CMH)|39.99806| -82.89194|  793|FALSE
5648400|0|2|Columbus (CMH)|39.99806| -82.89194|  337|FALSE
5648400|1|2|Denver (DEN)|39.86167|-104.67306|  337|TRUE
5648400|2|2|Columbus (CMH)|39.99806| -82.89194|  337|FALSE
5767661|0|2|Columbus (CMH)|39.99806| -82.89194|  440|FALSE
5767661|1|2|Charlotte (CLT)|35.21389| -80.94306|  440|TRUE
5767661|2|2|Columbus (CMH)|39.99806| -82.89194|  440|FALSE
5782940|0|2|Columbus (LCK)|39.81389| -82.92778|  295|FALSE
5782940|1|2|Orlando (SFB)|28.77778| -81.23750|  295|TRUE
5782940|2|2|Columbus (CMH)|39.99806| -82.89194|  295|FALSE
5649299|0|2|Columbus (LCK)|39.81389| -82.92778|  295|FALSE
5649299|1|2|Orlando (SFB)|28.77778| -81.23750|  295|TRUE
5649299|2|2|Columbus (CMH)|39.99806| -82.89194|  295|FALSE
5782882|0|5|Columbus (CMH)|39.99806| -82.89194|  877|FALSE
5782882|1|5|Atlanta (ATL)|33.63667| -84.42806|  877|FALSE
5782882|2|5|Montgomery (MGM)|32.30056| -86.39389|  877|TRUE
5782882|3|5|Atlanta (ATL)|33.63667| -84.42806|  877|FALSE
5782882|4|5|Orlando (MCO)|28.42944| -81.30889|  877|FALSE
5782882|5|5|Columbus (CMH)|39.99806| -82.89194|  877|FALSE
5601953|0|5|Columbus (CMH)|39.99806| -82.89194|  578|FALSE
5601953|1|5|Charlotte (CLT)|35.21389| -80.94306|  578|FALSE
5601953|2|5|Washington, D.C. (IAD)|38.94444| -77.45583|  578|FALSE
5601953|3|5|DuBois (DUJ)|41.17833| -78.89861|  578|TRUE
5601953|4|5|Washington, D.C. (IAD)|38.94444| -77.45583|  578|FALSE
5601953|5|5|Columbus (CMH)|39.99806| -82.89194|  578|FALSE
5648494|0|5|Columbus (CMH)|39.99806| -82.89194|  522|FALSE
5648494|1|5|Hartford (BDL)|41.93889| -72.68333|  522|FALSE
5648494|2|5|Las Vegas (LAS)|36.08000|-115.15222|  522|FALSE
5648494|3|5|Reno (RNO)|39.49917|-119.76806|  522|TRUE
5648494|4|5|Las Vegas (LAS)|36.08000|-115.15222|  522|FALSE
5648494|5|5|Columbus (CMH)|39.99806| -82.89194|  522|FALSE
5646996|0|2|Columbus (CMH)|39.99806| -82.89194|  440|FALSE
5646996|1|2|Charlotte (CLT)|35.21389| -80.94306|  440|TRUE
5646996|2|2|Columbus (CMH)|39.99806| -82.89194|  440|FALSE
5659384|0|3|Columbus (LCK)|39.81389| -82.92778|  336|FALSE
5659384|1|3|Savannah (SAV)|32.12750| -81.20222|  336|TRUE
5659384|2|3|Atlanta (ATL)|33.63667| -84.42806|  336|FALSE
5659384|3|3|Columbus (CMH)|39.99806| -82.89194|  336|FALSE
5601318|0|6|Columbus (CMH)|39.99806| -82.89194|  494|FALSE
5601318|1|6|Denver (DEN)|39.86167|-104.67306|  494|FALSE
5601318|2|6|Las Vegas (LAS)|36.08000|-115.15222|  494|FALSE
5601318|3|6|Eugene (EUG)|44.12472|-123.21194|  494|TRUE
5601318|4|6|Las Vegas (LAS)|36.08000|-115.15222|  494|FALSE
5601318|5|6|Chicago (ORD)|41.97861| -87.90472|  494|FALSE
5601318|6|6|Columbus (CMH)|39.99806| -82.89194|  494|FALSE
5601954|0|4|Columbus (CMH)|39.99806| -82.89194|  535|FALSE
5601954|1|4|Orlando (MCO)|28.42944| -81.30889|  535|FALSE
5601954|2|4|Cedar Rapids (CID)|41.88472| -91.71083|  535|TRUE
5601954|3|4|Chicago (ORD)|41.97861| -87.90472|  535|FALSE
5601954|4|4|Columbus (CMH)|39.99806| -82.89194|  535|FALSE
5718607|0|3|Columbus (CMH)|39.99806| -82.89194|  257|FALSE
5718607|1|3|Orlando (MCO)|28.42944| -81.30889|  257|FALSE
5718607|2|3|Las Vegas (LAS)|36.08000|-115.15222|  257|TRUE
5718607|3|3|Columbus (CMH)|39.99806| -82.89194|  257|FALSE
