id|leg|stops|loc|lat|long|price|dest
   1|0|4|Columbus (CMH)|39.99806| -82.89194| 271|FALSE
   1|1|4|Chicago (ORD)|41.97861| -87.90472| 271|FALSE
   1|2|4|Dallas (DFW)|32.89694| -97.03806| 271|TRUE
   1|3|4|Las Vegas (LAS)|36.08000|-115.15222| 271|FALSE
   1|4|4|Columbus (CMH)|39.99806| -82.89194| 271|FALSE
   5|0|3|Columbus (CMH)|39.99806| -82.89194| 442|FALSE
   5|1|3|Dallas (DFW)|32.89694| -97.03806| 442|TRUE
   5|2|3|Orlando (MCO)|28.42944| -81.30889| 442|FALSE
   5|3|3|Columbus (CMH)|39.99806| -82.89194| 442|FALSE
   6|0|5|Columbus (CMH)|39.99806| -82.89194| 282|FALSE
   6|1|5|Philadelphia (PHL)|39.87194| -75.24111| 282|FALSE
   6|2|5|West Palm Beach (PBI)|26.68306| -80.09556| 282|TRUE
   6|3|5|Charlotte (CLT)|35.21389| -80.94306| 282|FALSE
   6|4|5|New York (JFK)|40.63972| -73.77889| 282|FALSE
   6|5|5|Columbus (CMH)|39.99806| -82.89194| 282|FALSE
   7|0|4|Columbus (CMH)|39.99806| -82.89194| 274|FALSE
   7|1|4|Washington, D.C. (IAD)|38.94444| -77.45583| 274|FALSE
   7|2|4|Atlanta (ATL)|33.63667| -84.42806| 274|TRUE
   7|3|4|Washington, D.C. (IAD)|38.94444| -77.45583| 274|FALSE
   7|4|4|Columbus (CMH)|39.99806| -82.89194| 274|FALSE
   9|0|5|Columbus (CMH)|39.99806| -82.89194| 597|FALSE
   9|1|5|Detroit (DTW)|42.21250| -83.35333| 597|FALSE
   9|2|5|Appleton (ATW)|44.26667| -88.51667| 597|TRUE
   9|3|5|Denver (DEN)|39.86167|-104.67306| 597|FALSE
   9|4|5|Orlando (MCO)|28.42944| -81.30889| 597|FALSE
   9|5|5|Columbus (CMH)|39.99806| -82.89194| 597|FALSE
  10|0|2|Columbus (CMH)|39.99806| -82.89194| 205|FALSE
  10|1|2|Chicago (ORD)|41.97861| -87.90472| 205|TRUE
  10|2|2|Columbus (CMH)|39.99806| -82.89194| 205|FALSE
  11|0|4|Columbus (CMH)|39.99806| -82.89194| 367|FALSE
  11|1|4|Chicago (ORD)|41.97861| -87.90472| 367|FALSE
  11|2|4|Philadelphia (PHL)|39.87194| -75.24111| 367|TRUE
  11|3|4|Orlando (MCO)|28.42944| -81.30889| 367|FALSE
  11|4|4|Columbus (CMH)|39.99806| -82.89194| 367|FALSE
  12|0|4|Columbus (CMH)|39.99806| -82.89194| 248|FALSE
  12|1|4|Atlanta (ATL)|33.63667| -84.42806| 248|FALSE
  12|2|4|San Francisco (SFO)|37.61889|-122.39167| 248|TRUE
  12|3|4|Las Vegas (LAS)|36.08000|-115.15222| 248|FALSE
  12|4|4|Columbus (CMH)|39.99806| -82.89194| 248|FALSE
  13|0|4|Columbus (CMH)|39.99806| -82.89194| 608|FALSE
  13|1|4|Chicago (ORD)|41.97861| -87.90472| 608|FALSE
  13|2|4|Minneapolis (MSP)|44.88194| -93.22167| 608|TRUE
  13|3|4|Chicago (ORD)|41.97861| -87.90472| 608|FALSE
  13|4|4|Columbus (CMH)|39.99806| -82.89194| 608|FALSE
  14|0|5|Columbus (CMH)|39.99806| -82.89194| 462|FALSE
  14|1|5|Minneapolis (MSP)|44.88194| -93.22167| 462|FALSE
  14|2|5|San Francisco (SFO)|37.61889|-122.39167| 462|TRUE
  14|3|5|Las Vegas (LAS)|36.08000|-115.15222| 462|FALSE
  14|4|5|Orlando (MCO)|28.42944| -81.30889| 462|FALSE
  14|5|5|Columbus (CMH)|39.99806| -82.89194| 462|FALSE
  15|0|2|Columbus (CMH)|39.99806| -82.89194| 183|FALSE
  15|1|2|Las Vegas (LAS)|36.08000|-115.15222| 183|TRUE
  15|2|2|Columbus (CMH)|39.99806| -82.89194| 183|FALSE
  19|0|3|Columbus (LCK)|39.81389| -82.92778| 154|FALSE
  19|1|3|Sarasota (SRQ)|27.39556| -82.55444| 154|TRUE
  19|2|3|Fort Lauderdale (FLL)|26.07250| -80.15278| 154|FALSE
  19|3|3|Columbus (CMH)|39.99806| -82.89194| 154|FALSE
  20|0|4|Columbus (CMH)|39.99806| -82.89194| 424|FALSE
  20|1|4|Washington, D.C. (DCA)|38.85222| -77.03778| 424|FALSE
  20|2|4|Atlanta (ATL)|33.63667| -84.42806| 424|TRUE
  20|3|4|Washington, D.C. (IAD)|38.94444| -77.45583| 424|FALSE
  20|4|4|Columbus (CMH)|39.99806| -82.89194| 424|FALSE
  21|0|5|Columbus (CMH)|39.99806| -82.89194| 376|FALSE
  21|1|5|Orlando (MCO)|28.42944| -81.30889| 376|FALSE
  21|2|5|Denver (DEN)|39.86167|-104.67306| 376|FALSE
  21|3|5|Ontario (ONT)|34.05611|-117.60111| 376|TRUE
  21|4|5|Las Vegas (LAS)|36.08000|-115.15222| 376|FALSE
  21|5|5|Columbus (CMH)|39.99806| -82.89194| 376|FALSE
