id|leg|stops|loc|lat|long|price|dest
5718567|0|4|Columbus (CMH)|39.99806| -82.89194| 751|FALSE
5718567|1|4|Charlotte (CLT)|35.21389| -80.94306| 751|FALSE
5718567|2|4|Nashville (BNA)|36.12444| -86.67833| 751|TRUE
5718567|3|4|Washington, D.C. (DCA)|38.85222| -77.03778| 751|FALSE
5718567|4|4|Columbus (CMH)|39.99806| -82.89194| 751|FALSE
5691889|0|2|Columbus (CMH)|39.99806| -82.89194| 394|FALSE
5691889|1|2|Los Angeles (LAX)|33.94250|-118.40806| 394|TRUE
5691889|2|2|Columbus (CMH)|39.99806| -82.89194| 394|FALSE
5714915|0|3|Columbus (CMH)|39.99806| -82.89194| 305|FALSE
5714915|1|3|Las Vegas (LAS)|36.08000|-115.15222| 305|FALSE
5714915|2|3|Burbank (BUR)|34.20056|-118.35861| 305|TRUE
5714915|3|3|Columbus (CMH)|39.99806| -82.89194| 305|FALSE
5872062|0|2|Columbus (CMH)|39.99806| -82.89194| 176|FALSE
5872062|1|2|Orlando (MCO)|28.42944| -81.30889| 176|TRUE
5872062|2|2|Columbus (CMH)|39.99806| -82.89194| 176|FALSE
5780734|0|4|Columbus (CMH)|39.99806| -82.89194|3021|FALSE
5780734|1|4|San Francisco (SFO)|37.61889|-122.39167|3021|FALSE
5780734|2|4|Tucson (TUS)|32.11611|-110.94111|3021|TRUE
5780734|3|4|Phoenix (PHX)|33.43417|-112.01167|3021|FALSE
5780734|4|4|Columbus (CMH)|39.99806| -82.89194|3021|FALSE
5695333|0|4|Columbus (CMH)|39.99806| -82.89194| 417|FALSE
5695333|1|4|Chicago (ORD)|41.97861| -87.90472| 417|FALSE
5695333|2|4|Philadelphia (PHL)|39.87194| -75.24111| 417|TRUE
5695333|3|4|Chicago (ORD)|41.97861| -87.90472| 417|FALSE
5695333|4|4|Columbus (CMH)|39.99806| -82.89194| 417|FALSE
5872560|0|4|Columbus (CMH)|39.99806| -82.89194| 361|FALSE
5872560|1|4|Atlanta (ATL)|33.63667| -84.42806| 361|FALSE
5872560|2|4|Tampa (TPA)|27.97556| -82.53333| 361|TRUE
5872560|3|4|Atlanta (ATL)|33.63667| -84.42806| 361|FALSE
5872560|4|4|Columbus (CMH)|39.99806| -82.89194| 361|FALSE
5695436|0|2|Columbus (CMH)|39.99806| -82.89194| 422|FALSE
5695436|1|2|Atlanta (ATL)|33.63667| -84.42806| 422|TRUE
5695436|2|2|Columbus (CMH)|39.99806| -82.89194| 422|FALSE
5695279|0|3|Columbus (CMH)|39.99806| -82.89194| 499|FALSE
5695279|1|3|Charlotte (CLT)|35.21389| -80.94306| 499|FALSE
5695279|2|3|Washington, D.C. (DCA)|38.85222| -77.03778| 499|TRUE
5695279|3|3|Columbus (CMH)|39.99806| -82.89194| 499|FALSE
5695349|0|2|Columbus (CMH)|39.99806| -82.89194| 678|FALSE
5695349|1|2|Seattle (SEA)|47.44889|-122.30944| 678|TRUE
5695349|2|2|Columbus (CMH)|39.99806| -82.89194| 678|FALSE
5695636|0|4|Columbus (CMH)|39.99806| -82.89194| 807|FALSE
5695636|1|4|Chicago (ORD)|41.97861| -87.90472| 807|FALSE
5695636|2|4|Green Bay (GRB)|44.48556| -88.13389| 807|TRUE
5695636|3|4|Chicago (ORD)|41.97861| -87.90472| 807|FALSE
5695636|4|4|Columbus (CMH)|39.99806| -82.89194| 807|FALSE
5695568|0|3|Columbus (CMH)|39.99806| -82.89194| 443|FALSE
5695568|1|3|Las Vegas (LAS)|36.08000|-115.15222| 443|FALSE
5695568|2|3|Denver (DEN)|39.86167|-104.67306| 443|TRUE
5695568|3|3|Columbus (CMH)|39.99806| -82.89194| 443|FALSE
5695712|0|3|Columbus (CMH)|39.99806| -82.89194| 499|FALSE
5695712|1|3|Charlotte (CLT)|35.21389| -80.94306| 499|FALSE
5695712|2|3|Washington, D.C. (DCA)|38.85222| -77.03778| 499|TRUE
5695712|3|3|Columbus (CMH)|39.99806| -82.89194| 499|FALSE
5695437|0|4|Columbus (CMH)|39.99806| -82.89194| 554|FALSE
5695437|1|4|Chicago (ORD)|41.97861| -87.90472| 554|FALSE
5695437|2|4|Atlanta (ATL)|33.63667| -84.42806| 554|TRUE
5695437|3|4|Charlotte (CLT)|35.21389| -80.94306| 554|FALSE
5695437|4|4|Columbus (CMH)|39.99806| -82.89194| 554|FALSE
5695243|0|2|Columbus (CMH)|39.99806| -82.89194| 460|FALSE
5695243|1|2|Chicago (ORD)|41.97861| -87.90472| 460|TRUE
5695243|2|2|Columbus (CMH)|39.99806| -82.89194| 460|FALSE
5872586|0|3|Columbus (CMH)|39.99806| -82.89194| 265|FALSE
5872586|1|3|Chicago (ORD)|41.97861| -87.90472| 265|FALSE
5872586|2|3|Seattle (SEA)|47.44889|-122.30944| 265|TRUE
5872586|3|3|Columbus (CMH)|39.99806| -82.89194| 265|FALSE
5695383|0|2|Columbus (CMH)|39.99806| -82.89194| 341|FALSE
5695383|1|2|Las Vegas (LAS)|36.08000|-115.15222| 341|TRUE
5695383|2|2|Columbus (CMH)|39.99806| -82.89194| 341|FALSE
5872594|0|4|Columbus (CMH)|39.99806| -82.89194| 488|FALSE
5872594|1|4|Chicago (ORD)|41.97861| -87.90472| 488|FALSE
5872594|2|4|Minneapolis (MSP)|44.88194| -93.22167| 488|TRUE
5872594|3|4|Detroit (DTW)|42.21250| -83.35333| 488|FALSE
5872594|4|4|Columbus (CMH)|39.99806| -82.89194| 488|FALSE
5695281|0|2|Columbus (CMH)|39.99806| -82.89194| 401|FALSE
5695281|1|2|Washington, D.C. (IAD)|38.94444| -77.45583| 401|TRUE
5695281|2|2|Columbus (CMH)|39.99806| -82.89194| 401|FALSE
5872548|0|2|Columbus (CMH)|39.99806| -82.89194| 264|FALSE
5872548|1|2|New York (EWR)|40.69250| -74.16861| 264|TRUE
5872548|2|2|Columbus (CMH)|39.99806| -82.89194| 264|FALSE
5685266|0|4|Columbus (CMH)|39.99806| -82.89194| 415|FALSE
5685266|1|4|Dallas (DFW)|32.89694| -97.03806| 415|FALSE
5685266|2|4|New Orleans (MSY)|29.99333| -90.25806| 415|TRUE
5685266|3|4|Dallas (DFW)|32.89694| -97.03806| 415|FALSE
