league|id|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname
mlb|5786230|05:40 pm|2023-08-05|San Diego, CA|Dodgers at Padres|Los Angeles Dodgers at San Diego Padres|Petco Park|    24|0.941|32.7076|-117.1570|San Diego Padres|Los Angeles Dodgers|NA|NA| 95| 173|  1040|MLB|MLB Baseball
mlb|5786224|06:40 pm|2023-08-04|San Diego, CA|Dodgers at Padres|Los Angeles Dodgers at San Diego Padres|Petco Park|    24|0.919|32.7076|-117.1570|San Diego Padres|Los Angeles Dodgers|NA|NA| 72| 145|118792|MLB|MLB Baseball
mlb|5785019|01:20 pm|2023-08-05|Chicago, IL|Braves at Cubs|Atlanta Braves at Chicago Cubs|Wrigley Field|    11|0.916|41.9475| -87.6562|Chicago Cubs|Atlanta Braves|NA|NA| 48| 139|  1966|MLB|MLB Baseball
mlb|5785983|03:05 pm|2023-08-05|Arlington, TX|Marlins at Rangers|Miami Marlins at Texas Rangers|Globe Life Field|487468|0.894|32.7472| -97.0838|Texas Rangers|Miami Marlins|NA|NA| 32|  88|214749|MLB|MLB Baseball
mlb|5785520|01:05 pm|2023-08-05|Bronx, NY|Astros at Yankees|Houston Astros at New York Yankees|Yankee Stadium|     8|0.891|40.8296| -73.9262|New York Yankees|Houston Astros|NA|NA| 31| 100| 22253|MLB|MLB Baseball
mlb|5786234|04:10 pm|2023-08-06|San Diego, CA|Dodgers at Padres|Los Angeles Dodgers at San Diego Padres|Petco Park|    24|0.890|32.7076|-117.1570|San Diego Padres|Los Angeles Dodgers|NA|NA| 63| 133|  1346|MLB|MLB Baseball
mlb|5786166|04:10 pm|2023-08-05|Boston, MA|Blue Jays at Red Sox|Toronto Blue Jays at Boston Red Sox|Fenway Park|    21|0.888|42.3456| -71.0983|Boston Red Sox|Toronto Blue Jays|NA|NA| 80| 168|  1804|MLB|MLB Baseball
mlb|5786164|07:10 pm|2023-08-04|Boston, MA|Blue Jays at Red Sox|Toronto Blue Jays at Boston Red Sox|Fenway Park|    21|0.886|42.3456| -71.0983|Boston Red Sox|Toronto Blue Jays|NA|NA| 87| 164|  1482|MLB|MLB Baseball
mlb|5786062|07:20 pm|2023-08-22|Atlanta, GA|Mets at Braves|New York Mets at Atlanta Braves|Truist Park|418889|0.659|33.8897| -84.4654|Atlanta Braves|New York Mets|NA|NA| 27|  85|   815|MLB|MLB Baseball
mlb|5785966|07:20 pm|2023-08-01|Atlanta, GA|Angels at Braves|Los Angeles Angels at Atlanta Braves|Truist Park|418889|0.882|33.8897| -84.4654|Atlanta Braves|Los Angeles Angels|NA|NA| 35|  87| 11804|MLB|MLB Baseball
mlb|5787947|07:05 pm|2023-08-05|Baltimore, MD|Mets at Orioles|New York Mets at Baltimore Orioles|Oriole Park at Camden Yards|    25|0.879|39.2840| -76.6199|Baltimore Orioles|New York Mets|NA|NA| 41|  99|   453|MLB|MLB Baseball
mlb|5785960|07:20 pm|2023-07-31|Atlanta, GA|Angels at Braves|Los Angeles Angels at Atlanta Braves|Truist Park|418889|0.877|33.8897| -84.4654|Atlanta Braves|Los Angeles Angels|NA|NA| 30|  85| 11804|MLB|MLB Baseball
mlb|5785012|01:20 pm|2023-08-04|Chicago, IL|Braves at Cubs|Atlanta Braves at Chicago Cubs|Wrigley Field|    11|0.871|41.9475| -87.6562|Chicago Cubs|Atlanta Braves|NA|NA| 38| 104|116812|MLB|MLB Baseball
mlb|5789316|04:07 pm|2023-08-05|Oakland, CA|Giants at Athletics|San Francisco Giants at Oakland Athletics|Oakland Coliseum|    14|0.869|37.7514|-122.2010|Oakland Athletics|San Francisco Giants|NA|NA| 49| 110|   454|MLB|MLB Baseball
mlb|5786238|01:10 pm|2023-08-07|San Diego, CA|Dodgers at Padres|Los Angeles Dodgers at San Diego Padres|Petco Park|    24|0.866|32.7076|-117.1570|San Diego Padres|Los Angeles Dodgers|NA|NA| 61| 117|  1615|MLB|MLB Baseball
mlb|5788858|06:40 pm|2023-08-04|Detroit, MI|Rays at Tigers|Tampa Bay Rays at Detroit Tigers|Comerica Park|    12|0.727|42.3390| -83.0485|Detroit Tigers|Tampa Bay Rays|NA|NA| 27|  55|   335|MLB|MLB Baseball
mlb|5785512|07:15 pm|2023-08-03|Bronx, NY|Astros at Yankees|Houston Astros at New York Yankees|Yankee Stadium|     8|0.860|40.8296| -73.9262|New York Yankees|Houston Astros|NA|NA| 25|  67|  1633|MLB|MLB Baseball
mlb|5785514|07:05 pm|2023-08-04|Bronx, NY|Astros at Yankees|Houston Astros at New York Yankees|Yankee Stadium|     8|0.857|40.8296| -73.9262|New York Yankees|Houston Astros|NA|NA| 21|  89|214749|MLB|MLB Baseball
mlb|5785526|01:35 pm|2023-08-06|Bronx, NY|Astros at Yankees|Houston Astros at New York Yankees|Yankee Stadium|     8|0.857|40.8296| -73.9262|New York Yankees|Houston Astros|NA|NA| 29|  80|214749|MLB|MLB Baseball
mlb|5785381|07:10 pm|2023-08-26|Flushing, NY|Angels at Mets|Los Angeles Angels at New York Mets|Citi Field|     3|0.724|40.7564| -73.8459|New York Mets|Los Angeles Angels|NA|NA| 20|  63|  2321|MLB|MLB Baseball
mlb|5785986|07:20 pm|2023-08-14|Atlanta, GA|Yankees at Braves|New York Yankees at Atlanta Braves|Truist Park|418889|0.850|33.8897| -84.4654|Atlanta Braves|New York Yankees|NA|NA| 44| 116|  1327|MLB|MLB Baseball
mlb|5785284|07:10 pm|2023-08-09|Flushing, NY|Cubs at Mets|Chicago Cubs at New York Mets|Citi Field|     3|0.723|40.7564| -73.8459|New York Mets|Chicago Cubs|NA|NA| 11|  34|   695|MLB|MLB Baseball
mlb|5785024|01:20 pm|2023-08-06|Chicago, IL|Braves at Cubs|Atlanta Braves at Chicago Cubs|Wrigley Field|    11|0.847|41.9475| -87.6562|Chicago Cubs|Atlanta Braves|NA|NA| 34|  94|118792|MLB|MLB Baseball
mlb|5785274|07:10 pm|2023-08-03|Los Angeles, CA|Athletics at Dodgers|Oakland Athletics at Los Angeles Dodgers|Dodger Stadium|     1|0.845|34.0718|-118.2460|Los Angeles Dodgers|Oakland Athletics|NA|NA| 40|  99|  1731|MLB|MLB Baseball
mlb|5786172|01:35 pm|2023-08-06|Boston, MA|Blue Jays at Red Sox|Toronto Blue Jays at Boston Red Sox|Fenway Park|    21|0.838|42.3456| -71.0983|Boston Red Sox|Toronto Blue Jays|NA|NA| 69| 146|118792|MLB|MLB Baseball
mlb|5787402|06:05 pm|2023-08-05|Philadelphia, PA|Royals at Phillies|Kansas City Royals at Philadelphia Phillies|Citizens Bank Park|    18|0.834|39.9055| -75.1666|Philadelphia Phillies|Kansas City Royals|NA|NA| 44|  74|   658|MLB|MLB Baseball
mlb|5788309|06:10 pm|2023-08-05|Minneapolis, MN|Diamondbacks at Twins|Arizona Diamondbacks at Minnesota Twins|Target Field|  3712|0.831|44.9817| -93.2776|Minnesota Twins|Arizona Diamondbacks|NA|NA| 27|  68|  1435|MLB|MLB Baseball
