league|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname|id
nfl|07:20 pm|2022-12-04|Arlington, TX|Colts at Cowboys|Indianapolis Colts at Dallas Cowboys|AT&T Stadium|  4965|0.983|32.7473| -97.0945|Dallas Cowboys|Indianapolis Colts|NA|NA| 41| 381|  4076|NFL|NFL Football|   1
nfl|05:20 pm|2022-12-18|Las Vegas, NV|Patriots at Raiders|New England Patriots at Las Vegas Raiders|Allegiant Stadium|514837|0.982|36.0909|-115.1830|Las Vegas Raiders|New England Patriots|NA|NA|300| 647|  9118|NFL|NFL Football|   2
nfl|01:25 pm|2022-12-11|Santa Clara, CA|Buccaneers at 49ers|Tampa Bay Buccaneers at San Francisco 49ers|Levi's Stadium| 58670|0.980|37.4023|-121.9690|San Francisco 49ers|Tampa Bay Buccaneers|NA|NA|215| 576|  6925|NFL|NFL Football|   3
nfl|02:05 pm|2022-12-18|Denver, CO|Cardinals at Broncos|Arizona Cardinals at Denver Broncos|Empower Field at Mile High|  1131|0.895|39.7439|-105.0200|Denver Broncos|Arizona Cardinals|NA|NA|108| 270|  1463|NFL|NFL Football|   4
nfl|03:30 pm|2022-11-24|Arlington, TX|Giants at Cowboys|New York Giants at Dallas Cowboys|AT&T Stadium|  4965|0.978|32.7473| -97.0945|Dallas Cowboys|New York Giants|NA|NA| 78| 477| 12433|NFL|NFL Football|   5
nfl|01:00 pm|2022-11-13|Miami Gardens, FL|Browns at Dolphins|Cleveland Browns at Miami Dolphins|Hard Rock Stadium|    29|0.894|25.9579| -80.2388|Miami Dolphins|Cleveland Browns|NA|NA|142| 331|  5655|NFL|NFL Football|   6
nfl|01:00 pm|2022-12-04|Atlanta, GA|Steelers at Falcons|Pittsburgh Steelers at Atlanta Falcons|Mercedes-Benz Stadium|419590|0.967|33.7556| -84.4024|Atlanta Falcons|Pittsburgh Steelers|NA|NA|194| 375|  2817|NFL|NFL Football|   7
nfl|12:00 pm|2022-12-11|Arlington, TX|Texans at Cowboys|Houston Texans at Dallas Cowboys|AT&T Stadium|  4965|0.966|32.7473| -97.0945|Dallas Cowboys|Houston Texans|NA|NA| 63| 480|  3532|NFL|NFL Football|   8
nfl|03:25 pm|2022-11-13|Green Bay, WI|Cowboys at Packers|Dallas Cowboys at Green Bay Packers|Lambeau Field|  1125|0.965|44.5013| -88.0622|Green Bay Packers|Dallas Cowboys|NA|NA|176| 396|   855|NFL|NFL Football|   9
nfl|12:00 pm|2022-12-04|Chicago, IL|Packers at Bears|Green Bay Packers at Chicago Bears|Soldier Field|    31|0.965|41.8623| -87.6159|Chicago Bears|Green Bay Packers|NA|NA|271| 551|  1599|NFL|NFL Football|  10
nfl|08:20 pm|2022-11-27|Philadelphia, PA|Packers at Eagles|Green Bay Packers at Philadelphia Eagles|Lincoln Financial Field|   330|0.962|39.9008| -75.1675|Philadelphia Eagles|Green Bay Packers|NA|NA|264| 459| 11309|NFL|NFL Football|  11
