team,short,abbreviation,nickname,school,z
Abilene Christian Wildcats,Abilene Chrstn,ACU,Wildcats,Abilene Christian,Abilene Chr
Air Force Falcons,Air Force,AFA,Falcons,Air Force,Air Force
Akron Zips,Akron,AKR,Zips,Akron,Akron
Alabama A&M Bulldogs,Alabama A&M,AAMU,Bulldogs,Alabama A&M,Alabama A&M
Alabama Crimson Tide,Alabama,ALA,Crimson Tide,Alabama,Alabama
Alabama State Hornets,Alabama St,ALST,Hornets,Alabama State,Alabama St
Alcorn State Braves,Alcorn St,ALCN,Braves,Alcorn State,Alcorn St
American University Eagles,American,AMER,Eagles,American University,American Univ
App State Mountaineers,App State,APP,Mountaineers,App State,Appalachian St
Arizona State Sun Devils,Arizona St,ASU,Sun Devils,Arizona State,Arizona St
Arizona Wildcats,Arizona,ARIZ,Wildcats,Arizona,Arizona
Arkansas-Pine Bluff Golden Lions,AR-Pine Bluff,UAPB,Golden Lions,Arkansas-Pine Bluff,Ark Pine Bluff
Arkansas Razorbacks,Arkansas,ARK,Razorbacks,Arkansas,Arkansas
Arkansas State Red Wolves,Arkansas St,ARST,Red Wolves,Arkansas State,Arkansas St
Army Black Knights,Army,ARMY,Black Knights,Army,Army
Auburn Tigers,Auburn,AUB,Tigers,Auburn,Auburn
Austin Peay Governors,Austin Peay,APSU,Governors,Austin Peay,Austin Peay
Ball State Cardinals,Ball State,BALL,Cardinals,Ball State,Ball St
Baylor Bears,Baylor,BAY,Bears,Baylor,Baylor
Belmont Bruins,Belmont,BEL,Bruins,Belmont,Belmont
Bethune-Cookman Wildcats,Bethune,BCU,Wildcats,Bethune-Cookman,Bethune-Cookman
Binghamton Bearcats,Binghamton,BING,Bearcats,Binghamton,Binghamton
Boise State Broncos,Boise St,BOIS,Broncos,Boise State,Boise St
Boston College Eagles,Boston College,BC,Eagles,Boston College,Boston College
Boston University Terriers,Boston U,BU,Terriers,Boston University,Boston Univ
Bowling Green Falcons,Bowling Green,BGSU,Falcons,Bowling Green,Bowling Green
Bradley Braves,Bradley,BRAD,Braves,Bradley,Bradley
Brown Bears,Brown,BRWN,Bears,Brown,Brown
Bryant Bulldogs,Bryant,BRY,Bulldogs,Bryant,Bryant
Bucknell Bison,Bucknell,BUCK,Bison,Bucknell,Bucknell
Buffalo Bulls,Buffalo,BUF,Bulls,Buffalo,Buffalo
Butler Bulldogs,Butler,BUT,Bulldogs,Butler,Butler
BYU Cougars,BYU,BYU,Cougars,BYU,BYU
Cal Poly Mustangs,Cal Poly,CP,Mustangs,Cal Poly,Cal Poly SLO
Cal State Bakersfield Roadrunners,Bakersfield,CSUB,Roadrunners,Cal State Bakersfield,CS Bakersfield
Cal State Fullerton Titans,Fullerton,CSUF,Titans,Cal State Fullerton,CS Fullerton
Cal State Northridge Matadors,CSU Northridge,CSUN,Matadors,Cal State Northridge,CS Northridge
California Golden Bears,California,CAL,Golden Bears,California,California
Campbell Fighting Camels,Campbell,CAM,Fighting Camels,Campbell,Campbell
Canisius Golden Griffins,Canisius,CAN,Golden Griffins,Canisius,Canisius
Central Arkansas Bears,C Arkansas,CARK,Bears,Central Arkansas,Cent Arkansas
Central Connecticut Blue Devils,C Connecticut,CCSU,Blue Devils,Central Connecticut,Central Conn
Central Michigan Chippewas,C Michigan,CMU,Chippewas,Central Michigan,C Michigan
Charleston Cougars,Charleston,COFC,Cougars,Charleston,Col Charleston
Charleston Southern Buccaneers,Charleston So,CHSO,Buccaneers,Charleston Southern,Charleston So
Charlotte 49ers,Charlotte,CLT,49ers,Charlotte,Charlotte
Chattanooga Mocs,Chattanooga,UTC,Mocs,Chattanooga,Chattanooga
Chicago Maroons,Chicago,CHI,Maroons,Chicago,IL Chicago
Chicago State Cougars,Chicago St,CHST,Cougars,Chicago State,Chicago St
Cincinnati Bearcats,Cincinnati,CIN,Bearcats,Cincinnati,Cincinnati
Clemson Tigers,Clemson,CLEM,Tigers,Clemson,Clemson
Cleveland State Vikings,Cleveland St,CLE,Vikings,Cleveland State,Cleveland St
Coastal Carolina Chanticleers,Coastal Car,CCU,Chanticleers,Coastal Carolina,Coastal Car
Colgate Raiders,Colgate,COLG,Raiders,Colgate,Colgate
Colorado Buffaloes,Colorado,COLO,Buffaloes,Colorado,Colorado
Colorado State Rams,Colorado St,CSU,Rams,Colorado State,Colorado St
Columbia Lions,Columbia,COLU,Lions,Columbia,Columbia
Coppin State Eagles,Coppin St,COPP,Eagles,Coppin State,Coppin St
Cornell Big Red,Cornell,COR,Big Red,Cornell,Cornell
Creighton Bluejays,Creighton,CREI,Bluejays,Creighton,Creighton
Dartmouth Big Green,Dartmouth,DART,Big Green,Dartmouth,Dartmouth
Davidson Wildcats,Davidson,DAV,Wildcats,Davidson,Davidson
Dayton Flyers,Dayton,DAY,Flyers,Dayton,Dayton
Delaware Blue Hens,Delaware,DEL,Blue Hens,Delaware,Delaware
Delaware State Hornets,Delaware St,DSU,Hornets,Delaware State,Delaware St
Denver Pioneers,Denver,DEN,Pioneers,Denver,Denver
DePaul Blue Demons,DePaul,DEP,Blue Demons,DePaul,DePaul
Detroit Mercy Titans,Detroit Mercy,DETM,Titans,Detroit Mercy,Detroit
Drake Bulldogs,Drake,DRKE,Bulldogs,Drake,Drake
Drexel Dragons,Drexel,DREX,Dragons,Drexel,Drexel
Duke Blue Devils,Duke,DUKE,Blue Devils,Duke,Duke
Duquesne Dukes,Duquesne,DUQ,Dukes,Duquesne,Duquesne
East Carolina Pirates,East Carolina,ECU,Pirates,East Carolina,East Carolina
East Tennessee State Buccaneers,ETSU,ETSU,Buccaneers,East Tennessee State,ETSU
Eastern Illinois Panthers,E Illinois,EIU,Panthers,Eastern Illinois,E Illinois
Eastern Kentucky Colonels,E Kentucky,EKU,Colonels,Eastern Kentucky,E Kentucky
Eastern Michigan Eagles,E Michigan,EMU,Eagles,Eastern Michigan,E Michigan
Eastern Washington Eagles,E Washington,EWU,Eagles,Eastern Washington,E Washington
Elon Phoenix,Elon,ELON,Phoenix,Elon,Elon
Evansville Purple Aces,Evansville,EVAN,Purple Aces,Evansville,Evansville
Fairfield Stags,Fairfield,FAIR,Stags,Fairfield,Fairfield
Fairleigh Dickinson Knights,Fair Dickinson,FDU,Knights,Fairleigh Dickinson,F Dickinson
Florida A&M Rattlers,Florida A&M,FAMU,Rattlers,Florida A&M,Florida A&M
Florida Atlantic Owls,FAU,FAU,Owls,Florida Atlantic,FL Atlantic
Florida Gators,Florida,FLA,Gators,Florida,Florida
Florida Gulf Coast Eagles,FGCU,FGCU,Eagles,Florida Gulf Coast,FL Gulf Coast
Florida International Panthers,FIU,FIU,Panthers,Florida International,Florida Intl
Florida State Seminoles,Florida St,FSU,Seminoles,Florida State,Florida St
Fordham Rams,Fordham,FOR,Rams,Fordham,Fordham
Fresno State Bulldogs,Fresno St,FRES,Bulldogs,Fresno State,Fresno St
Furman Paladins,Furman,FUR,Paladins,Furman,Furman
Gardner-Webb Runnin' Bulldogs,Gardner-Webb,GWEB,Runnin' Bulldogs,Gardner-Webb,Gardner Webb
George Mason Patriots,George Mason,GMU,Patriots,George Mason,George Mason
George Mason University Patriots,George Mason,GMU,Patriots,George Mason University,George Mason
George Washington Revolutionaries,G Washington,GW,Revolutionaries,George Washington,G Washington
Georgetown Hoyas,Georgetown,GTWN,Hoyas,Georgetown,Georgetown
Georgia Bulldogs,Georgia,UGA,Bulldogs,Georgia,Georgia
Georgia Southern Eagles,GA Southern,GASO,Eagles,Georgia Southern,Ga Southern
Georgia State Panthers,Georgia St,GAST,Panthers,Georgia State,Georgia St
Georgia Tech Yellow Jackets,Georgia Tech,GT,Yellow Jackets,Georgia Tech,Georgia Tech
Gonzaga Bulldogs,Gonzaga,GONZ,Bulldogs,Gonzaga,Gonzaga
Grambling Tigers,Grambling,GRAM,Tigers,Grambling,Grambling
Grand Canyon Lopes,Grand Canyon,GCU,Lopes,Grand Canyon,Grand Canyon
Green Bay Phoenix,Green Bay,GB,Phoenix,Green Bay,WI Green Bay
Hampton Pirates,Hampton,HAMP,Pirates,Hampton,Hampton
Harvard Crimson,Harvard,HARV,Crimson,Harvard,Harvard
Hawai'i Rainbow Warriors,Hawai’i,HAW,Rainbow Warriors,Hawai'i,Hawaii
High Point Panthers,High Point,HPU,Panthers,High Point,High Point
Hofstra Pride,Hofstra,HOF,Pride,Hofstra,Hofstra
Holy Cross Crusaders,Holy Cross,HC,Crusaders,Holy Cross,Holy Cross
Houston Christian Huskies,Hou Christian,HCU,Huskies,Houston Christian,Houston Bap
Houston Cougars,Houston,HOU,Cougars,Houston,Houston
Howard Bison,Howard,HOW,Bison,Howard,Howard
Idaho State Bengals,Idaho St,IDST,Bengals,Idaho State,Idaho St
Idaho Vandals,Idaho,IDHO,Vandals,Idaho,Idaho
Illinois Fighting Illini,Illinois,ILL,Fighting Illini,Illinois,Illinois
